Health,Population,Area,Latitude,Longitude,AQI,PM2.5,PM10
1275.5949,632349,Ajmer,26.4499,74.6399,122,40,134
1222.9641,442190,Alwar,27.553,76.6346,91,36,93
1290.4509,177022,Baran,25.1011,76.5132,130,47.2,100.6
1192.7869,181384,Beawar,26.1046,74.3199,99,35.2,75
800,314457,Bharatpur,27.2152,77.503,43,23,43
1261.6056,465809,Bhilwara,25.3407,74.6313,102,44,115
1061.1136,632429,Bhiwadi,28.2014,76.8217,164,81,169
769,804994,Bikaner,28.0229,73.3119,41,25,31
1280.331,116000,Chittaurgarh,24.8829,74.623,96,42,105
1020.4987,181112,Dhoulpur,26.6966,77.8908,134,35,111
1524.3535,175885,Hanumangarh,29.5815,74.3294,93,32,77
1480.8224,4067826,Jaipur,26.9124,75.7873,155,60,183
799,65471,Jaisalmer,26.9157,70.9083,17,10,13
1167.4058,1830000,Jalor,25.3445,72.6252,157,70,166
1355.7504,2330000,Jodhpur,26.2389,73.0234,75,32,79
1271.2114,206342,Kishangarh,26.5866,74.8542,92,32,60
1601.6762,1420000,Kota,25.2138,75.8448,156,70,182
1091.6408,300311,Pali,25.7781,73.3311,199,89,206
1402.9642,21626,Pushkar,26.4886,74.5509,114,38,126
1145.7576,325405,Sikar,27.6094,75.1398,111,46,127
1374.7111,282271,Sri Ganganagar,29.9094,73.88,97,34,89
1435.929,201295,Tonk,26.1659,75.7963,112,54,129
1440.8731,591315,Udaipur,24.5854,73.7125,121,59,131